;id;created_at;text;sentiment
601;583107;2020-06-19 16:04:25+00:00;Despite all the global issues with unemployment, social unrest, and a pandemic, US stocks are down only a few % in 2020 now. However, the return disparity is massive, as not all ships are in this rise higher #socialunrest #unemployment #stocks #stock #ships #maritime #rise https://t.co/2nmRtw1aWW;positive
904;145588;2020-04-21 13:09:59+00:00;$BMTC - Bryn Mawr Bank Corporation 2020 Q1 - Results - Earnings Call Presentation. https://t.co/KzhiPOj6ld #markets #stocks #stockmarket;neutral
980;244362;2020-04-29 18:49:44+00:00;Microsoft to Post Q3 Earnings: Is Cloud the Saving Grace? $MSFT https://t.co/oxbNN9shpP;neutral
1070;4129;2020-04-09 17:35:33+00:00;RT @wijaranakula: The #SP500 is testing its 50-day EMA and continues making HIGHER-HIGHS. 😎 There should not be any CONFUSION about what th…;negative
1163;95643;2020-04-17 19:58:18+00:00;RT @chigrl: S&P500 now more concentrated in the 5 largest stocks than ever $MSFT $AAPL $FB $GOOGL $AMZN https://t.co/0W1mMCWQ59;neutral
962;626955;2020-06-23 14:22:03+00:00;Stocks Climb on Positive Economic Data #SP500 #index #MarketScreener https://t.co/FbcYeobWIk https://t.co/e7SIStqvGt;positive
433;126001;2020-04-20 19:54:08+00:00;"1/ Thread on my latest for @YahooFinance & @gurufocus, ""Why the Fed's Bond Buying Is a Recipe for Trouble""

TL;DR: The Fed's interventions may threaten the stability and integrity of credit markets – and of all capital markets. $JNK $SPY $SPX $SPAB $SPHY
https://t.co/pH0N6DeKPD";negative
568;318223;2020-05-08 19:34:41+00:00;"$SPY $ES $SPX #SPY #SPX #ES #MarketProfile 
Weekend Update: https://t.co/L8lIGHZtTO";neutral
1029;519743;2020-06-14 06:50:09+00:00;RT @ManchesterUtd81: @EnronChairman @WillRayValentin @EnergyCynic $NOG isn't in the list cause its AAA like $CVX https://t.co/X97taAoX6i;neutral
1016;344862;2020-05-28 11:24:02+00:00;Closed at 38.60 after touching 40 , ard 39.95. Lets c tom. #trading #nifty #stocks #bankofbaroda #investing;negative
414;90082;2020-04-16 10:20:26+00:00;"📌 Subscriber Access

The #stockmarket valuation, the short- & long-term forecasts, and the equity risk premium have been updated on 👉 https://t.co/ZrpyqM1YJ4

#valuations #valuation #markets #investing
#sp500 #nasdaq #dow #dowjones $djia $spx #spx $spy #stocks #assetallocation https://t.co/Dkx2pHSEjZ";neutral
206;155162;2020-04-22 17:52:43+00:00;Hudbay Minerals Inc to Post FY2022 Earnings of $1.47 Per Share, Cormark Forecasts $HBM https://t.co/3gWa6yCmCq #stocks;positive
874;412460;2020-06-04 16:47:31+00:00;"100% measured move down possible which happens around the yesterday's low and this is why I think it's possible $SPY $SPX $ES_F
https://t.co/iwFIGZLO6h";negative
782;268404;2020-05-04 14:43:39+00:00;$DIS crushed the index in early 2010s out of a recession, willing to bet it does the same coming out of this recession. https://t.co/wPlcuqWjY3;negative
197;744345;2020-07-02 22:27:20+00:00;RT @itsdlevy: Disney wants to open @WaltDisneyWorld as COVID-19 infections in FL soar. They refuse to include testing in the safety plan fo…;negative
10;223041;2020-04-27 00:41:06+00:00;RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…;neutral
376;908205;2020-07-15 22:08:00+00:00;"@LizAnnSonders @LizzAnnSonders 07/15/2020 

History in the making

If Elon, Jeff, Bill etc can be hacked what about their fairytale price earnings ratios? Let slone the growth ratios

#faangm #faangm #bubble $tsla $msft $amzn";neutral
354;273226;2020-05-04 05:23:40+00:00;Brokers Issue Forecasts for Centennial Resource Development Inc’s Q1 2020 Earnings $CDEV https://t.co/xZREqdbLed #stocks;neutral
647;114751;2020-04-18 06:10:16+00:00;RT @leadlagreport: Analysts are bullish, expecting the $SPX to rally to above 3200 within 12 months #stocks #markets #economy #investing #f…;positive
887;409448;2020-06-04 20:25:07+00:00;Try our Option Swing Trading service built for individuals who want to trade around their full-time careers. Take a free 10-day trail, No Credit Card https://t.co/9SEbatKhcS $AAPL $TSLA $NFLX $ROKU;neutral
1248;424673;2020-06-05 16:26:33+00:00;RT @vitaliyk: Microsoft was a great company in 1999.  $MSFT was still a great company in 2017 - it would take you 18 years for you to break…;positive
54;100306;2020-04-17 14:54:41+00:00;"Why Amazon is thriving when retail sector takes a severe beating from Covid-19...
https://t.co/GzEIw6uTWS
#retail #Walmart #Amazon $WMT $AMZN $TGT $DG $M #Macy's #Dollar #General #Coronavirus #Covid-19 #Pandemic #shutdown #epidemic https://t.co/8b0fIxe4GC";negative
380;140650;2020-04-21 18:03:13+00:00;"RT @RealMikeLarson: This Tweet from @carlquintanilla illustrates how $SPX, e.g., not really sensitive to energy. But IMO that's a ""technica…";positive
318;283209;2020-05-05 15:08:15+00:00;@petenajarian $msft 182.50 16k weeklys bought today ...;positive
542;816612;2020-07-08 12:09:57+00:00;Phoenix protesters demand answers after police ... $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusiness #business #money #entrepreneur #trading #investing #investment #stock #stockmarket #forex #crypto #cryptocurrency #Bitcoin #Ethereum #Coinbase #Robinhood https://t.co/yDKITrQj8j;negative
554;651104;2020-06-25 20:25:34+00:00;"RT @NoTimeZone_: It’s always good to know how much a company cost & pays for dividends per share

4 companies I like (of many) that pay goo…";positive
98;766740;2020-07-04 23:01:07+00:00;"$FB Sentiment is neutral right now.
News mentions: positive (7), negative (27), neutral (38)
Sentiment score: +0.111 (scale of -1.5 to +1.5)
Stock alerts, news, and research tools at https://t.co/Qkw92RLxV8";neutral
179;640501;2020-06-24 16:15:04+00:00;Huge variation: Nike  Inc. Common Stock $NKE 98.4300 down -3.4243% 12:00 https://t.co/Pa7hlovGSJ  #stocks;negative
727;20678;2020-04-10 00:47:44+00:00;NocTrader Bearish Breakout https://t.co/1V7l4Is0Qo #prorealtime #trading #markets #stockmarket #trader #stocks #investing #money #forex #bitcoin #cryptocurrency #finance #prorealtime;negative
579;557330;2020-06-17 13:21:05+00:00;Morgan Stanley Raises Algonquin Power & Utilities $AQN Price Target to $16.00 https://t.co/rEbj9pskuV #stocks;neutral
1169;768966;2020-07-04 14:01:30+00:00;"To learn options trading in #stock like $AMZN and $FB for example ..what are the best online applications to do that? https://t.co/lhD2SFttbU   
   #optionchain #volatility";positive
785;614429;2020-06-22 12:11:40+00:00;RT @LiveSquawk: Intel Has Been Reiterated As A Top Pick Stock At BAML With A Price Target Of $70 $INTC;positive
117;33450;2020-04-13 21:57:25+00:00;"After last week of trading we closed today’s day of trading we closed up $463.35 for a return of 7.37%. Want to know what #stocks are in this M1 Pie!? Check out my video down below for #StocksToTrade in 2020!! 

M1 Finance Portfolio Challenge: https://t.co/B1h1GmNGQp https://t.co/J9wk9h4Lri";positive
1233;556571;2020-06-17 14:03:40+00:00;"Weak Liquidity for the start of day see market thoughts on that and $XOP and $DRIP to $7 ? . $USO $OIH $CL $IWM $RTY $XLE $DRIP $GUSH $ERY $ERX $SPY $SPX #IrresponsibleFedPolicy 
@CNBCFastMoney
@CNBC @wsjournal
@MarketWatch
 @BBCBreaking
@YahooNews
@TheTodayShow
@CNN https://t.co/K1aO6Q30dI";negative
7;392845;2020-06-02 01:12:29+00:00;"RT @ArjunKharpal: #Apple has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…";negative
1138;601412;2020-06-21 13:15:01+00:00;"RT @letsinvestnow: $JPM Great uptrend since breaking out of a multi year base. Good EPS today to help it continue higher 

 https://t.co/kr…";positive
824;197362;2020-04-25 17:18:23+00:00;@elerianm I told. SP500 is a great opportunity to get 2200 points. https://t.co/AutMjzbBLq;positive
1139;625360;2020-06-23 15:33:22+00:00;@CleeStuntin Let's make some money $AAPL $MSFT $AMZN $FB $NFLX $GOOGL $AMD $ZM $BYND $BA $BABA $DAL $WMT $HD $TSLA $QQQ $SPY $BA $NVDA;positive
441;249331;2020-04-29 13:43:38+00:00;Chesapeake Utilities $CPK Set to Announce Earnings on Wednesday https://t.co/8Hc5s2UoSp #stocks;neutral
922;430168;2020-06-05 10:09:47+00:00;RT @BullPennyTrader: $VISL should be interesting tomorrow. Anyone else swinging it? 9 more days to go for NASDAQ compliance. I think this j…;positive
415;100661;2020-04-17 14:34:16+00:00;$AMZN 2266 is today target.;neutral
109;1878;2020-04-09 20:17:34+00:00;Twitter to Share More Data About Users With Advertisers @themotleyfool #stocks $TWTR https://t.co/FP4E8ZZgs0;positive
935;795958;2020-07-07 16:44:18+00:00;"Date : 07/07/2020
Time :  12:42 PM
Ticker : $BAC
Exp :  07/17/20
Strike :23
Spot : 23.05
Contracts : 1000 @ 0.80
Premium : $80K
Type : SWEEP
  #trading #inversion  #Nasdaq
#COVID19 #stocks #Fed $ROKU $AMZN $APPLE $SQ $SPY";neutral
203;677117;2020-06-26 10:11:35+00:00;$CRH https://t.co/ZTIcvYqTx7 Pot. intermed bot in Downtrend INTRAWEEK 60m-15m-4m combo chart #Stocks #Trading https://t.co/YcSNMXULku;negative
